voice.google.com,216.58.192.238
voice.google.com,216.58.192.238
voice.google.com,216.58.192.238
voice.google.com,216.58.192.238
voice.google.com,216.58.192.238
sdgsgds.,"Unable to resolve"
2,"Unable to resolve"
google.com,172.217.9.78
google.com,172.217.9.78
post%20,"Unable to resolve"
bobco.moe,54.69.208.7
bobco.moe,54.69.208.7
waifu.bobco.moe,"Unable to resolve"
waifu.moe,75.126.100.17
satania.bobco.moe,65.18.206.197
satania.bobco.moe,65.18.206.197
satania.bobco.moe,65.18.206.197
satania.bobco.moe,65.18.206.197
satania.bobco.moe,65.18.206.197
satania.bobco.moe,65.18.206.197
satania.bobco.moe,65.18.206.197
satania.bobco.moe,65.18.206.197
